scenario,type,window,range,outside_support_share,transactions_affected,predictor,target,predicted,truth
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,success_rate_delta_pp,-0.08308101401277579,-0.1058133196524147
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,timeout_rate_delta_pp,0.035062798611576636,0.08336807002917879
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,failures_delta,25.91047584016451,32.999999999998636
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,gmv_at_risk,53913.44909659773,63622.73999999929
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,p95_latency_delta_ms,0.0,26.0
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,success_rate_delta_pp,-0.00029416407857363325,-0.1058133196524147
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,timeout_rate_delta_pp,-0.00017414704726898683,0.08336807002917879
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,failures_delta,0.09174095118487458,32.999999999998636
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,gmv_at_risk,1025.6247510565445,63622.73999999929
HDFC UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,p95_latency_delta_ms,0.0,26.0
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,success_rate_delta_pp,-0.16892596271295135,-0.18918138968159193
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,timeout_rate_delta_pp,0.09170191210525029,0.1250521050437683
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,failures_delta,52.682939991288094,58.99999999999818
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,gmv_at_risk,109798.30166684091,107120.59999999963
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,rule_baseline,p95_latency_delta_ms,0.0,35.0
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,success_rate_delta_pp,-0.0007088701766799765,-0.18918138968159193
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,timeout_rate_delta_pp,-0.00038684236142224465,0.1250521050437683
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,failures_delta,0.22107534200108603,58.99999999999818
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,gmv_at_risk,2375.5401596827433,107120.59999999963
HDFC UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,535,independent_ml,p95_latency_delta_ms,0.2858184188562518,35.0
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,rule_baseline,success_rate_delta_pp,-0.3406158601133247,-0.36874338666751383
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,rule_baseline,timeout_rate_delta_pp,0.17547817926980602,0.23086542469618748
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,rule_baseline,failures_delta,106.22786829354254,114.9999999999975
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,rule_baseline,gmv_at_risk,221568.00680732727,257803.0599999996
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,rule_baseline,p95_latency_delta_ms,0.0,71.0
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,independent_ml,success_rate_delta_pp,0.0006067957267652524,-0.36874338666751383
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,independent_ml,timeout_rate_delta_pp,-0.0005612671122701141,0.23086542469618748
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,independent_ml,failures_delta,-0.18924138330635287,114.9999999999975
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,independent_ml,gmv_at_risk,2396.079984988086,257803.0599999996
HDFC UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.3514018691588785,535,independent_ml,p95_latency_delta_ms,0.38223392245708965,71.0
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,rule_baseline,success_rate_delta_pp,-0.6839956549140491,-0.7054221310161202
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,rule_baseline,timeout_rate_delta_pp,0.34303071359891807,0.46173084939237496
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,rule_baseline,failures_delta,213.31772489804462,219.9999999999975
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,rule_baseline,gmv_at_risk,445107.4170882981,478278.4400000004
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,rule_baseline,p95_latency_delta_ms,0.0,131.0
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,independent_ml,success_rate_delta_pp,0.0006067957267652524,-0.7054221310161202
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,independent_ml,timeout_rate_delta_pp,-0.0005612671122701141,0.46173084939237496
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,independent_ml,failures_delta,-0.18924138330635287,219.9999999999975
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,independent_ml,gmv_at_risk,2396.079984988086,478278.4400000004
HDFC UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,535,independent_ml,p95_latency_delta_ms,0.38223392245708965,131.0
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,success_rate_delta_pp,-0.09700725966881318,-0.09298746272484726
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,timeout_rate_delta_pp,0.047423794467066,0.06092282040593838
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,failures_delta,30.253654072912923,28.99999999999818
